,station no.,station name,latitude,longitude,altitude,meanSpeed-100m,meanDuration,highWindFrac,scaleFactor,meanSpeed-10m,startTime_x,meanRes_x,Observations,gustObs,stormCount,startTime_y,meanRes_y,durationGoodness,paretoGoodness
40,014982,KANGAROO FLATS (DEFENCE)                ,-12.7934,130.8542,50.0,4.9007206,8.411764705882353,0.0730608837925892,4.506021064022294,1.0875938054179566,2017-10-03 09:00:00,29.999690016666666,93292.0,93292,1205,2017-10-03 09:00:00,29.999690016666666,,0.009900990099009901
41,014983,MOUNT BUNDEY NORTH (DEFENCE)            ,-12.9141,131.8663,83.0,4.9871693,7.859589041095891,0.0344356903050776,3.3712109047650727,1.4793406306018722,2017-10-03 09:00:00,29.999690016666666,96437.0,96437,580,2017-10-03 09:00:00,29.999690016666666,,0.0297029702970297
42,014984,MOUNT BUNDEY SOUTH (DEFENCE)            ,-13.0889,131.8478,55.0,4.622325,7.524752475247524,0.0299244834628794,3.28823231874053,1.405717265534614,2017-10-03 09:00:00,29.999690016666666,96466.0,96466,402,2017-10-03 09:00:00,29.999690016666666,,0.019801980198019802
43,014988,KNUCKEY LAGOON                          ,-12.4422,130.9556,31.6,4.5741987,9.0,0.0112171621939866,2.1417469056878176,2.1357326165345203,2021-07-22 13:30:00,29.99900493333333,30129.0,30129,21,2021-07-22 13:30:00,29.99900493333333,,0.019801980198019802
44,015135,TENNANT CREEK AIRPORT                   ,-19.6423,134.1833,375.7,7.152781,4.583333333333333,0.0134449551912916,1.5317613548546782,4.669644515449127,1990-06-18 13:00:00,29.99973925,431685.0,431685,71,1990-06-18 13:00:00,29.99973925,,0.009900990099009901
45,015590,ALICE SPRINGS AIRPORT                   ,-23.7951,133.889,546.0,5.714463,6.714285714285714,0.0098402028351851,1.6065536143588743,3.5569701396042226,1990-08-08 12:00:00,29.83966438333333,450056.0,450057,109,1990-08-08 12:00:00,29.839664383333332,,0.009900990099009901
46,015602,JERVOIS                                 ,-22.9494,136.1442,328.0,6.6644716,6.769230769230769,0.0206818999699515,1.8700817455583745,3.563732784468115,2000-08-08 08:00:00,29.947263066666668,204278.0,204278,160,2000-08-08 08:00:00,29.947263066666668,,0.009900990099009901
47,015635,YULARA AIRPORT                          ,-25.1896,130.9737,492.0,6.616568,7.159663865546219,0.0143455510059168,1.6944165211496072,3.904924206028377,1991-07-20 14:30:00,29.873090933333334,418474.0,418475,296,1991-07-20 14:30:00,29.873090933333334,,0.009900990099009901
48,015643,TERRITORY GRAPE FARM                    ,-22.4518,133.6377,565.6,6.7526736,7.083333333333333,0.0171415328660021,2.0226570353052957,3.3385163713267936,2000-08-05 09:30:00,29.970831416666663,222105.0,222105,297,2000-08-05 09:30:00,29.970831416666666,,0.009900990099009901
49,015664,WALUNGURRU AIRPORT                      ,-23.2656,129.3844,454.3,7.4204946,7.615384615384615,0.0146566415726675,1.4113804252468152,5.257614760477738,2001-10-22 13:00:00,29.950106100000003,225392.0,225392,39,2001-10-22 13:00:00,29.950106100000003,,0.009900990099009901
50,015666,RABBIT FLAT                             ,-20.1823,130.0148,340.0,5.4175606,6.125,0.0106424100116403,1.6298745821763208,3.3239125492457697,2002-02-14 15:00:00,29.90468535,152476.0,152476,30,2002-02-14 15:00:00,29.90468535,,0.009900990099009901
51,200731,POINT FAWCETT                           ,-11.7628,130.03,6.5,4.5029764,8.714285714285714,0.0009866977561199,1.3972313987940157,3.222785017161891,2000-07-24 13:30:00,29.99992465,261114.0,261114,21,2000-07-24 13:30:00,29.99992465,,0.019801980198019802
52,200782,NORTH EAST ISLAND                       ,-13.6449,136.9445,17.4,6.2364793,9.333333333333334,0.0061383346914272,1.546869783377275,4.031676970742209,2010-10-13 12:30:00,29.99954446666667,65562.0,65562,12,2010-10-13 12:30:00,29.99954446666667,,0.6831683168316832
53,200786,CAPE WESSEL                             ,-11.0047,136.7586,18.0,7.033756,23.5,0.0097691306476673,1.1002064496952362,6.393123564413525,2011-12-06 14:30:00,29.999849166666667,184326.0,184326,11,2011-12-06 14:30:00,29.999849166666667,,0.594059405940594
54,200867,BAYU UNDAN (CUQ RIG)                    ,-11.0681,126.6144,32.5,,,,,4.917883099601628,2009-07-02 07:30:00,29.999875766666666,241504.0,,,,,,
55,200868,CP DILI AIRPORT                         ,-8.5478,125.5276,8.8,,,,,3.354247104247196,2023-02-07 23:30:00,29.990029900000003,3009.0,,,,,,
56,001006,WYNDHAM AERO                            ,-15.51,128.1503,3.8,4.3224816,0.0,0.0010575372617556,1.2519575698223304,3.45257837519692,2000-09-23 11:30:00,29.9999241,268128.0,268128,0,2000-09-23 11:30:00,29.999924099999998,,
57,001007,TROUGHTON ISLAND                        ,-13.7542,126.1485,6.0,5.733217,6.5,0.0010596869433124,1.0515367949502072,5.452226484204203,1990-10-22 10:30:00,29.642511833333334,260273.0,260274,5,1990-10-22 10:30:00,29.642511833333334,,0.009900990099009901
58,001019,KALUMBURU                               ,-14.2964,126.6453,23.0,4.847704,5.666666666666667,0.024097779242285,2.265401601808392,2.13988721904587,1998-09-01 14:00:00,29.99993045,264735.0,264735,112,1998-09-01 14:00:00,29.99993045,,0.019801980198019802
59,001020,TRUSCOTT                                ,-14.09,126.3867,51.0,5.505253,9.411764705882351,0.0089373732814032,1.7810819153760515,3.0909599331776976,2004-05-13 14:00:00,29.9999095,259430.0,259430,39,2004-05-13 14:00:00,29.9999095,,0.009900990099009901
60,002012,HALLS CREEK METEOROLOGICAL OFFICE       ,-18.2291,127.6636,422.0,5.939624,6.063745019920319,0.0265993304103199,2.199498343277388,2.700444785901604,1993-12-09 08:00:00,27.747924466666667,333903.0,333904,761,1993-12-09 08:00:00,27.747924466666667,,0.019801980198019802
61,002056,KUNUNURRA AERO                          ,-15.7814,128.71,44.0,4.243469,10.0,0.0022695498465591,1.5470692011946945,2.742908484639415,1993-12-09 19:30:00,29.99860011666667,442869.0,442869,7,1993-12-09 19:30:00,29.99860011666667,,0.6039603960396039
62,002064,ARGYLE AERODROME                        ,-16.638,128.4516,164.0,3.8016253,4.5,0.0003437691549358,1.351925450147103,2.8120080521868758,1994-11-16 15:30:00,29.09869438333333,384909.0,384910,4,1994-11-16 15:30:00,29.098694383333335,,0.039603960396039604
63,002079,HALLS CREEK AIRPORT                     ,-18.2337,127.6666,409.4,5.8280983,6.44,0.0171112276673209,1.7493317140204228,3.331614153226916,2015-09-18 12:30:00,29.999773716666667,132045.0,132045,72,2015-09-18 12:30:00,29.999773716666667,,0.009900990099009901
64,003003,BROOME AIRPORT                          ,-17.9475,122.2352,7.4,5.4844546,9.03125,0.0057271470363441,1.4498115833788514,3.78287406079599,1993-12-09 08:00:00,29.999941666666665,444491.0,444491,50,1993-12-09 08:00:00,29.999941666666665,,0.009900990099009901
65,003032,DERBY AERO                              ,-17.3706,123.6611,6.2,5.1533012,4.75,0.0013137856473551,1.283494940771072,4.015053799836387,1994-12-18 12:30:00,29.9651673,290737.0,290738,6,1994-12-18 12:30:00,29.9651673,,0.22772277227722773
66,003080,CURTIN AERO                             ,-17.5768,123.8297,77.5,5.472941,13.0,0.0067859385567409,1.7861878886645064,3.064034280220904,1993-12-09 08:00:00,29.999941666666665,328077.0,328080,60,1993-12-09 08:00:00,29.999941666666665,,0.009900990099009901
67,003092,SOUTH EAST WATERBANK                    ,-17.8578,122.2725,41.0,5.50385,6.0,0.0021009648097934,1.5388069606531436,3.576699432708073,1996-12-29 07:30:00,26.381423716666667,39392.0,39392,3,1996-12-29 07:30:00,26.381423716666667,,0.009900990099009901
68,003093,FITZROY CROSSING AERO                   ,-18.1814,125.5619,114.5,5.1495304,7.0,0.004334619046773,1.604283133989169,3.20986383367499,1997-08-08 10:00:00,29.99993333333333,289648.0,289648,21,1997-08-08 10:00:00,29.999933333333335,,0.009900990099009901
69,003102,BROOME NTC AWS                          ,-18.0015,122.2176,0.0,6.2127037,13.31578947368421,0.0031385474920964,1.2670716845099053,4.903198280559017,2013-05-16 08:00:00,29.999827216666667,162622.0,162622,35,2013-05-16 08:00:00,29.999827216666667,,0.009900990099009901
70,003108,YAMPI SOUND (DEFENCE)                   ,-16.7671,123.981,41.3,4.1932726,6.842105263157895,0.0154236717475869,2.656732830023002,1.5783568988383756,2018-10-15 13:00:00,29.99961868333333,78476.0,78476,56,2018-10-15 13:00:00,29.99961868333333,,0.009900990099009901
71,004019,MANDORA                                 ,-19.7419,120.8433,7.5,6.626556,13.395348837209305,0.0147756786533609,1.7615698543270264,3.761733265002292,2009-12-21 08:00:00,29.999871366666664,184039.0,184039,112,2009-12-21 08:00:00,29.999871366666664,,0.009900990099009901
72,004032,PORT HEDLAND AIRPORT                    ,-20.3725,118.6317,6.4,6.5734153,13.857142857142858,0.0048456159272131,1.3440838380516722,4.89062891264058,1993-12-09 08:00:00,29.999941666666665,446008.0,446008,77,1993-12-09 08:00:00,29.999941666666665,,0.009900990099009901
73,004083,KARRATHA AERO                           ,-20.7097,116.7742,5.3,6.541017,10.88,0.0035890650941549,1.2265027750892417,5.333063396481547,1993-12-09 08:00:00,29.999941666666665,438525.0,438525,47,1993-12-09 08:00:00,29.999941666666665,,0.009900990099009901
74,004090,ROEBOURNE AERO                          ,-20.7594,117.1583,10.7,6.4048057,27.0,0.0078607238104518,1.3341797712785637,4.800556715164394,2001-06-07 10:00:00,27.221947083333337,260480.0,260480,12,2001-06-07 10:00:00,27.221947083333337,,0.504950495049505
75,004095,LEGENDRE ISLAND                         ,-20.3583,116.8431,29.0,7.083266,16.0,0.0042099931510778,1.1471040957846323,6.174911071656101,2009-10-20 14:00:00,29.999872983333333,197093.0,197093,21,2009-10-20 14:00:00,29.999872983333333,,0.15841584158415842
76,004100,BEDOUT ISLAND                           ,-19.5894,119.1,8.6,6.850964,33.0,0.0023564924925533,1.0113857876252998,6.773838581865275,2011-02-21 20:30:00,29.999858966666668,138740.0,138740,4,2011-02-21 20:30:00,29.999858966666668,,0.009900990099009901
77,004106,MARBLE BAR                              ,-21.1756,119.7497,182.3,6.2912726,8.841269841269842,0.03040309833136,2.098527911529231,2.9979456578415102,2000-10-07 01:30:00,29.967953816666668,243394.0,243394,461,2000-10-07 01:30:00,29.967953816666668,,0.009900990099009901
78,005007,LEARMONTH AIRPORT                       ,-22.2406,114.0967,5.0,6.2204165,9.705882352941176,0.0043503571175652,1.261845141265428,4.929619604216917,1993-12-09 08:00:00,29.999941666666665,456543.0,456543,30,1993-12-09 08:00:00,29.999941666666665,,0.009900990099009901
79,005008,MARDIE                                  ,-21.1906,115.9797,11.0,6.1964803,9.30952380952381,0.0112116035431187,1.581970415244501,3.9169381516169146,2000-06-15 09:00:00,29.99977505,223650.0,223650,76,2000-06-15 09:00:00,29.99977505,,0.019801980198019802
80,005017,ONSLOW AIRPORT                          ,-21.6689,115.1092,10.5,7.028846,10.833333333333334,0.0045533879768717,1.284985754381437,5.469979541082046,1997-11-21 14:00:00,29.999932583333337,307602.0,307602,8,1997-11-21 14:00:00,29.999932583333337,,0.26732673267326734
81,005084,THEVENARD ISLAND                        ,-21.4609,115.0188,5.0,7.2975717,15.2,0.005944462182305,1.2057474152671293,6.052322042482987,2000-01-12 15:00:00,29.99992638333333,293721.0,293721,7,2000-01-12 15:00:00,29.99992638333333,,0.9702970297029703
82,005094,BARROW ISLAND AIRPORT                   ,-20.874,115.4066,6.4,6.7804503,7.4,0.0030317884049668,1.0548480932064437,6.42789268687496,1999-04-22 17:00:00,29.9999286,366757.0,366758,17,1999-04-22 17:00:00,29.999928599999997,,0.594059405940594
83,005098,KARIJINI NORTH                          ,-22.2999,118.4498,474.0,6.4429693,5.7,0.0190244085982046,1.56850788247085,4.107706052490514,2018-08-31 06:30:00,29.999628933333334,79223.0,79223,35,2018-08-31 06:30:00,29.999628933333334,,0.009900990099009901
84,006011,CARNARVON AIRPORT                       ,-24.8878,113.67,4.0,8.334216,7.681818181818182,0.0179410211361755,1.3537836715171268,6.156239208084916,1993-12-09 08:00:00,29.999941666666665,453955.0,453955,63,1993-12-09 08:00:00,29.999941666666665,,0.019801980198019802
85,006105,SHARK BAY AIRPORT                       ,-25.8925,113.5772,33.8,8.2293215,7.769230769230769,0.0218756215057457,1.4595029255803411,5.638441236097655,2000-06-08 15:00:00,29.97118263333333,273900.0,273900,53,2000-06-08 15:00:00,29.971182633333335,,0.009900990099009901
86,007045,MEEKATHARRA AIRPORT                     ,-26.6136,118.5372,517.0,7.837349,8.058631921824103,0.0299946307737523,1.853639910770724,4.228085990406624,1993-12-09 08:00:00,29.999941666666665,460258.0,460258,825,1993-12-09 08:00:00,29.999941666666665,,0.009900990099009901
87,007176,NEWMAN AERO                             ,-23.4213,119.8023,524.0,6.0545077,9.373134328358208,0.0169298443412149,1.8168924611486696,3.332342371305562,1993-12-16 11:00:00,29.999941616666668,311266.0,311266,160,1993-12-16 11:00:00,29.999941616666668,,0.009900990099009901
88,007185,PARABURDOO AERO                         ,-23.1726,117.7493,423.7,5.4277015,9.0,0.0033141882257502,1.423946160208161,3.811732230411458,1995-12-13 11:00:00,29.9996869,318697.0,318697,10,1995-12-13 11:00:00,29.999686899999997,,0.6732673267326733
89,007600,MOUNT MAGNET AERO                       ,-28.1156,117.8425,407.0,7.472603,7.859649122807017,0.0210986215553025,1.6786761202619054,4.451485759547478,1995-04-05 08:00:00,29.999938916666668,310787.0,310787,136,1995-04-05 08:00:00,29.999938916666668,,0.019801980198019802
90,008051,GERALDTON AIRPORT COMPARISON            ,-28.7953,114.6975,33.0,7.0812526,6.6,0.0095450193465345,1.314698882576718,5.386216318250681,1993-12-09 08:00:00,29.99991663333333,289547.0,289547,36,1993-12-09 08:00:00,29.99991663333333,,0.019801980198019802
91,008290,NORTH ISLAND                            ,-28.3009,113.5937,2.2,9.134532,8.75,0.0192825427810452,1.194000125282739,7.650360985204608,2000-09-13 17:00:00,29.99992418333333,198656.0,198656,12,2000-09-13 17:00:00,29.999924183333334,,0.6237623762376238
92,008296,MORAWA AIRPORT                          ,-29.2039,116.0247,271.4,7.0085483,7.474137931034483,0.0262211543345693,1.8100478461733844,3.872023755919963,1997-02-26 01:00:00,29.998886366666667,331199.0,331199,308,1997-02-26 01:00:00,29.998886366666667,,0.009900990099009901
93,008297,DALWALLINU                              ,-30.2761,116.6714,324.5,7.452438,7.1,0.0186906845767225,1.571802631132616,4.741331850478531,1997-05-08 13:30:00,29.994192716666664,233383.0,233383,37,1997-05-08 13:30:00,29.994192716666664,,0.009900990099009901
94,008315,GERALDTON AIRPORT                       ,-28.8047,114.6989,29.7,7.053227,7.0,0.0098087076161975,1.2658713149194316,5.571835671332309,2011-07-20 10:00:00,29.999854066666668,204511.0,204511,34,2011-07-20 10:00:00,29.999854066666668,,0.009900990099009901
95,009021,PERTH AIRPORT                           ,-31.9275,115.9764,15.4,5.9152794,6.92,0.0094558042837598,1.3695474272645964,4.319148990876752,1985-01-03 04:00:00,29.996020883333333,440227.0,440227,316,1985-01-03 04:00:00,29.996020883333333,,0.009900990099009901
96,009037,BADGINGARRA RESEARCH STN                ,-30.3381,115.5394,275.0,8.427701,7.433333333333334,0.0330584398336168,1.5811621890103995,5.330067373843263,1997-04-21 23:00:00,29.9999341,304627.0,304627,339,1997-04-21 23:00:00,29.9999341,,0.009900990099009901
97,009053,PEARCE RAAF                             ,-31.6669,116.0189,40.0,7.203873,7.951612903225806,0.0327612192243564,1.7303660758719162,4.163207576680705,1993-12-09 08:00:00,29.999941666666665,283708.0,283708,404,1993-12-09 08:00:00,29.999941666666665,,0.009900990099009901
98,009091,INNER DOLPHIN PYLON                     ,-31.9889,115.8311,0.0,6.440106,6.172413793103448,0.0107092141937181,1.4195540409561629,4.536710635356824,1999-08-18 14:00:00,29.999927633333336,391880.0,391880,94,1999-08-18 14:00:00,29.999927633333336,,0.019801980198019802
99,009172,JANDAKOT AERO                           ,-32.1011,115.8794,30.0,6.084481,6.793103448275862,0.0114881805887667,1.4181139854138598,4.290544219339326,1993-12-12 08:00:00,29.99994165,451919.0,451919,161,1993-12-12 08:00:00,29.99994165,,0.009900990099009901
100,009178,GINGIN AERO                             ,-31.4628,115.8642,73.0,6.61079,6.0,0.0168300893795562,1.5772571308408212,4.191320265151845,1996-03-18 08:00:00,29.999936766666668,298716.0,298717,99,1996-03-18 08:00:00,29.999936766666668,,0.0297029702970297
101,009193,ROTTNEST ISLAND                         ,-32.0069,115.5022,43.1,8.700188,8.55609756097561,0.0166461458529185,1.169868970682906,7.436890712663977,1993-12-09 08:00:00,29.999941666666665,424116.0,424116,465,1993-12-09 08:00:00,29.999941666666665,,0.009900990099009901
102,009214,OCEAN REEF                              ,-31.7594,115.7278,10.0,7.435816,8.153153153153154,0.0091072657942276,1.2514705645852078,5.941662570083525,1996-10-17 08:00:00,29.999935366666666,453532.0,453534,286,1996-10-17 08:00:00,29.999935366666666,,0.019801980198019802
